group,FPR,FNR,TPR,TNR
Married-civ-spouse,0.03968253968253968,0.808091286307054,0.19190871369294607,0.9603174603174603
Never-married,0.017934002869440458,0.7352941176470589,0.2647058823529412,0.9820659971305595
Divorced,0.03783783783783784,0.7272727272727273,0.2727272727272727,0.9621621621621622
Widowed,0.05982905982905983,0.8,0.2,0.9401709401709402
Separated,0.014285714285714285,0.6666666666666666,0.3333333333333333,0.9857142857142858
Married-spouse-absent,0.034482758620689655,0.875,0.125,0.9655172413793104
Married-AF-spouse,0.0,1.0,0.0,1.0
