threshold,accuracy
0.0,0.24883977900552487
0.05,0.2492817679558011
0.1,0.25060773480662984
0.15000000000000002,0.261878453038674
0.2,0.4391160220994475
0.25,0.7675138121546962
0.30000000000000004,0.783646408839779
0.35000000000000003,0.783646408839779
0.4,0.783646408839779
0.45,0.7843093922651934
0.5,0.7847513812154696
0.55,0.7862983425414365
0.6000000000000001,0.7865193370165746
0.65,0.7858563535911602
0.7000000000000001,0.7847513812154696
0.75,0.7847513812154696
0.8,0.7847513812154696
0.8500000000000001,0.7847513812154696
0.9,0.7796685082872928
0.9500000000000001,0.7792265193370166
1.0,0.7790055248618785
