threshold,accuracy
0.0,0.24883977900552487
0.05,0.2579005524861879
0.1,0.2914917127071823
0.15000000000000002,0.34033149171270716
0.2,0.414585635359116
0.25,0.5301657458563536
0.30000000000000004,0.6099447513812155
0.35000000000000003,0.68
0.4,0.7213259668508287
0.45,0.7699447513812154
0.5,0.7838674033149171
0.55,0.7838674033149171
0.6000000000000001,0.7856353591160221
0.65,0.7862983425414365
0.7000000000000001,0.7867403314917127
0.75,0.7856353591160221
0.8,0.7801104972375691
0.8500000000000001,0.776353591160221
0.9,0.7719337016574586
0.9500000000000001,0.769281767955801
1.0,0.7511602209944751
