group,ECE
HS-grad,0.1225916842813656
Assoc-acdm,0.08789969200382987
Some-college,0.123500889496189
Masters,0.18661637331163625
11th,0.2359628776518005
Doctorate,0.4706532069415874
Bachelors,0.1250951997524513
10th,0.22163433339479227
7th-8th,0.18089424117104147
9th,0.15428420518214825
12th,0.16913839648133955
Prof-school,0.3309236642431234
Assoc-voc,0.1119049472410074
1st-4th,0.20192927766551547
Preschool,0.17982031995901918
5th-6th,0.1668979822406342
