model,accuracy,precision,recall,f1,auroc
logistic_regression,0.8441988950276244,0.7236981934112646,0.6047957371225577,0.6589259796806967,0.89513659069092
random_forest,0.8477348066298342,0.7182817182817183,0.6385435168738899,0.6760695815702867,0.9034997233017547
gradient_boosting,0.8638674033149172,0.7951388888888888,0.6101243339253997,0.6904522613065327,0.9219782801022346
