model,accuracy,precision,recall,f1,auroc,DPD,EOD,FPRD,ECE
reweigh,0.7838674033149171,0.6957671957671958,0.23357015985790408,0.3497340425531915,0.6158153296576101,0.13371076379583455,0.31476049123824507,0.04131076541582437,0.0798044511403692
expgrad,0.7787845303867403,0.6899696048632219,0.20159857904085257,0.3120274914089347,0.5857948764577608,0.12377418285332147,0.24203409132394152,0.039267397296670815,0.22121546961325966
cal_eq_odds,0.7851933701657459,0.8737864077669902,0.15985790408525755,0.2702702702702703,0.6190959936497884,0.09161840812699436,0.2011532028383991,0.011642544879942747,0.007907061562261314
