run,model,attr,DPD,EOD,FPRD,ECE,accuracy,precision,recall,f1,auroc
mitigated,expgrad,relationship,0.09562167827970097,0.3,0.027674718833230597,0.22121546961325966,0.7787845303867403,0.6899696048632219,0.20159857904085257,0.3120274914089347,0.5857948764577608
mitigated,cal_eq_odds,sex,0.03411186547335414,0.011926095671014603,0.002430483554118743,0.007907061562261314,0.7851933701657459,0.8737864077669902,0.15985790408525755,0.2702702702702703,0.6190959936497884
mitigated,cal_eq_odds,race,0.05925925925925926,0.16666666666666666,0.008394543546694649,0.007907061562261314,0.7851933701657459,0.8737864077669902,0.15985790408525755,0.2702702702702703,0.6190959936497884
mitigated,cal_eq_odds,age,0.0832512152687736,0.13331333133313333,0.013570167983136707,0.007907061562261314,0.7851933701657459,0.8737864077669902,0.15985790408525755,0.2702702702702703,0.6190959936497884
mitigated,cal_eq_odds,marital.status,0.07626310772163966,0.3333333333333333,0.012345679012345678,0.007907061562261314,0.7851933701657459,0.8737864077669902,0.15985790408525755,0.2702702702702703,0.6190959936497884
mitigated,cal_eq_odds,education,0.21794871794871795,0.3333333333333333,0.015873015873015872,0.007907061562261314,0.7851933701657459,0.8737864077669902,0.15985790408525755,0.2702702702702703,0.6190959936497884
mitigated,cal_eq_odds,relationship,0.0788762830902215,0.2283464566929134,0.017241379310344827,0.007907061562261314,0.7851933701657459,0.8737864077669902,0.15985790408525755,0.2702702702702703,0.6190959936497884
advanced,fair_reg_logreg,sex,0.004148249561688501,0.04393923310834015,0.00018464933844978084,0.23646408839779007,0.7635359116022099,0.9516129032258065,0.052397868561278864,0.09932659932659933,0.5257576280140905
advanced,fair_reg_logreg,race,0.023809523809523808,0.1111111111111111,0.001049317943336831,0.23646408839779007,0.7635359116022099,0.9516129032258065,0.052397868561278864,0.09932659932659933,0.5257576280140905
advanced,fair_reg_logreg,age,0.02468335431469528,0.04230423042304231,0.0017921146953405018,0.23646408839779007,0.7635359116022099,0.9516129032258065,0.052397868561278864,0.09932659932659933,0.5257576280140905
advanced,fair_reg_logreg,marital.status,0.0219256434699714,0.2222222222222222,0.0018018018018018018,0.23646408839779007,0.7635359116022099,0.9516129032258065,0.052397868561278864,0.09932659932659933,0.5257576280140905
advanced,fair_reg_logreg,education,0.07692307692307693,0.0967741935483871,0.0022624434389140274,0.23646408839779007,0.7635359116022099,0.9516129032258065,0.052397868561278864,0.09932659932659933,0.5257576280140905
advanced,fair_reg_logreg,relationship,0.031818181818181815,0.2,0.008620689655172414,0.23646408839779007,0.7635359116022099,0.9516129032258065,0.052397868561278864,0.09932659932659933,0.5257576280140905
