group,FPR,FNR,TPR,TNR
Married-civ-spouse,0.05114638447971781,0.7780082987551867,0.22199170124481327,0.9488536155202821
Never-married,0.018651362984218076,0.6911764705882353,0.3088235294117647,0.9813486370157819
Divorced,0.03963963963963964,0.6818181818181818,0.3181818181818182,0.9603603603603603
Widowed,0.05982905982905983,0.7,0.3,0.9401709401709402
Separated,0.007142857142857143,0.6666666666666666,0.3333333333333333,0.9928571428571429
Married-spouse-absent,0.017241379310344827,0.875,0.125,0.9827586206896551
Married-AF-spouse,0.0,1.0,0.0,1.0
