group,ECE
HS-grad,0.15201090661213362
Assoc-acdm,0.2857142857142857
Some-college,0.17635270541082163
Masters,0.5041322314049587
11th,0.03821656050955414
Doctorate,0.765625
Bachelors,0.41071428571428575
10th,0.05970149253731343
7th-8th,0.09090909090909091
9th,0.08620689655172414
12th,0.11320754716981132
Prof-school,0.717948717948718
Assoc-voc,0.23626373626373628
1st-4th,0.0
Preschool,0.0
5th-6th,0.057692307692307696
