threshold,accuracy
0.0,0.24883977900552487
0.05,0.6391160220994475
0.1,0.7151381215469613
0.15000000000000002,0.7577900552486188
0.2,0.7860773480662984
0.25,0.8081767955801105
0.30000000000000004,0.8262983425414364
0.35000000000000003,0.8369060773480663
0.4,0.8437569060773481
0.45,0.8470718232044199
0.5,0.8492817679558011
0.55,0.8486187845303867
0.6000000000000001,0.8461878453038674
0.65,0.8479558011049724
0.7000000000000001,0.8408839779005525
0.75,0.8335911602209944
0.8,0.823646408839779
0.8500000000000001,0.8117127071823205
0.9,0.8037569060773481
0.9500000000000001,0.7796685082872928
1.0,0.7549171270718232
