threshold,accuracy
0.0,0.24883977900552487
0.05,0.6229834254143647
0.1,0.7239779005524862
0.15000000000000002,0.7723756906077348
0.2,0.8059668508287293
0.25,0.8287292817679558
0.30000000000000004,0.8466298342541436
0.35000000000000003,0.8561325966850829
0.4,0.8643093922651933
0.45,0.8643093922651933
0.5,0.8638674033149172
0.55,0.8612154696132597
0.6000000000000001,0.8587845303867403
0.65,0.8539226519337016
0.7000000000000001,0.8479558011049724
0.75,0.8386740331491712
0.8,0.8258563535911603
0.8500000000000001,0.8152486187845304
0.9,0.8064088397790056
0.9500000000000001,0.7966850828729282
1.0,0.7511602209944751
