threshold,accuracy
0.0,0.24883977900552487
0.05,0.6086187845303868
0.1,0.6855248618784531
0.15000000000000002,0.7215469613259669
0.2,0.7538121546961326
0.25,0.794696132596685
0.30000000000000004,0.8154696132596685
0.35000000000000003,0.8300552486187845
0.4,0.8382320441988951
0.45,0.8426519337016575
0.5,0.8441988950276244
0.55,0.8413259668508287
0.6000000000000001,0.8386740331491712
0.65,0.8344751381215469
0.7000000000000001,0.8269613259668508
0.75,0.8187845303867404
0.8,0.8081767955801105
0.8500000000000001,0.7966850828729282
0.9,0.7902762430939226
0.9500000000000001,0.7785635359116022
1.0,0.7511602209944751
